,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
326,j theron,1,5,0,0,1,1,1,1,0,49,6.12,8.0
327,xj doherty,16,17,0,0,5,3,16,20,0,620,4.2169100952148435,137.0
328,wp saha,3,4,0,0,1,1,0,0,0,0,0.0,0.0
329,pa patel,21,478,3,0,21,19,0,0,0,0,0.0,0.0
330,f du plessis,11,259,2,0,10,9,5,1,0,64,0.1776171875,11.0
331,mn van wyk,5,94,1,0,5,5,0,0,0,0,0.0,0.0
332,cr woakes,3,20,0,0,3,2,3,7,1,149,6.140000000000001,26.2
333,lj woodcock,3,14,0,0,2,1,3,1,0,97,5.65,18.2
334,st finn,9,62,0,0,6,3,9,12,0,466,4.76140625,88.0
335,ab barath,6,67,0,0,6,6,0,0,0,0,0.0,0.0
336,jj krejza,4,13,0,0,2,1,4,3,0,189,4.9875,37.0
337,imran tahir,4,1,0,0,2,0,4,11,0,131,3.835,32.4
338,ad russell,15,333,2,0,12,9,14,20,0,566,6.249461059570312,102.5
339,d bishoo,13,10,0,0,7,5,13,20,0,476,4.584267578125001,111.0
340,ka edwards,9,153,0,0,9,8,0,0,0,0,0.0,0.0
341,jl pattinson,2,0,0,0,1,0,2,3,0,80,4.835,17.0
342,junaid khan,6,2,0,0,2,1,6,4,0,176,5.46375,36.0
343,mohammad salman,5,22,0,0,3,2,0,0,0,0,0.0,0.0
344,hammad azam,4,37,0,0,2,2,3,1,0,45,6.4,8.0
345,a martin,9,10,0,0,6,1,9,11,0,296,4.6806640625,74.0
346,usman salahuddin,2,13,0,0,2,2,0,0,0,0,0.0,0.0
347,tanvir ahmed,1,18,0,0,1,1,1,1,0,45,7.5,6.0
348,taufeeq umar,1,3,0,0,1,1,0,0,0,0,0.0,0.0
349,dp hyatt,9,112,0,0,9,8,0,0,0,0,0.0,0.0
350,mk tiwary,5,163,0,1,5,5,3,1,0,69,9.30625,10.0
351,jw dernbach,11,13,0,0,4,3,11,12,0,573,6.838085937500001,92.0
352,fdm karunaratne,1,4,0,0,1,1,0,0,0,0,0.0,0.0
353,rms eranga,3,3,0,0,3,2,3,4,0,99,5.165,19.0
354,s prasanna,7,18,0,0,5,4,7,8,0,272,5.48703125,56.3
355,am rahane,9,262,2,0,9,9,0,0,0,0,0.0,0.0
356,ba stokes,2,20,0,0,1,1,0,0,0,0,0.0,0.0
357,jm bairstow,6,90,0,0,5,4,0,0,0,0,0.0,0.0
358,nasir hossain,6,183,1,1,5,5,6,3,0,77,5.9140625,14.4
359,cr brathwaite,1,11,0,0,1,1,0,0,0,0,0.0,0.0
360,shuvagata hom,1,0,0,0,0,0,0,0,0,0,0.0,0.0
361,mr marsh,1,8,0,0,1,0,1,1,0,19,4.75,4.0
362,pj cummins,3,17,0,0,2,0,3,5,0,150,6.6075,23.0
363,sg borthwick,1,3,0,0,1,1,1,0,0,59,7.37,8.0
364,sc meaker,2,2,0,0,2,2,2,2,0,110,5.75,19.0
365,vr aaron,4,6,0,0,1,0,4,6,0,156,5.8825,28.1
366,ckb kulasekara,1,0,0,0,1,1,1,0,0,17,5.66,3.0
367,aizaz cheema,4,9,0,0,2,1,4,5,0,134,4.825,24.0
368,elias sunny,2,1,0,0,2,1,2,3,0,82,5.285,16.0
369,sp narine,3,35,0,0,2,1,3,3,0,121,4.8149999999999995,26.0
370,r sharma,2,0,0,0,0,0,2,4,0,88,4.4,20.0
371,jn mohammed,1,2,0,0,1,1,0,0,0,0,0.0,0.0
