,winner,toss,ground,strength,bat_strengthA,ball_strengthA,bat_strengthB,ball_strengthB
296,0,1,2,-1.27845,3.82258,2.31131,6.03747,2.86617
297,0,1,0,-1.70181,2.98393,1.54647,4.49627,2.475
298,1,1,0,-2.00889,3.28753,1.89854,5.9068,2.98232
299,0,1,1,-0.59714,4.19592,2.09684,5.18062,2.23958
300,1,1,1,0.25945,3.54463,3.29889,5.09071,1.96639
301,1,0,1,0.81288,2.50689,2.36879,3.32848,1.13024
302,0,1,1,-0.14798,2.72504,2.28223,3.87921,1.75609
303,1,1,1,2.96651,3.52656,2.34102,5.54737,0.66088
304,1,1,0,1.1495,3.86606,3.20104,4.43515,1.52505
305,1,0,2,0.91392,3.96001,2.95625,4.79111,1.56239
306,1,1,1,-0.94815,3.87527,1.83663,4.89098,2.25981
307,0,1,0,0.44138,4.32086,3.24599,4.80867,2.24717
308,0,1,1,-8.48103,4.187,0.60565,5.73541,4.23456
309,1,1,0,1.34418,4.2303,3.26175,4.52151,1.54933
310,1,1,1,-2.95948,4.05371,1.2275,5.04299,3.5285
311,1,1,0,1.54957,3.70695,2.71323,4.75921,1.12208
312,1,1,1,-0.36275,4.17217,2.30753,4.57755,2.57384
313,1,1,0,0.88361,2.93721,2.65334,4.61029,1.12058
314,0,0,0,-1.56581,2.98294,1.89657,4.27138,4.34609
315,0,1,0,-3.35507,1.68837,1.32664,5.00327,4.05553
316,0,0,0,-3.38599,2.45368,1.20687,4.78127,4.26191
317,0,1,2,-3.63655,4.27801,1.0364,5.34597,2.81139
318,1,1,2,-2.50169,3.70365,1.22319,4.63877,2.86957
319,0,1,2,-0.41258,3.63762,3.22894,5.71651,2.67902
320,1,1,2,-2.54991,4.38134,1.41898,5.78221,2.87304
321,0,1,0,-0.06497,2.60145,3.34825,3.93671,2.342
322,0,1,0,-0.33228,3.07836,2.64205,4.96716,1.98892
323,0,1,1,-1.03586,4.41767,2.14116,6.12487,2.42108
324,1,0,1,-2.44585,3.53348,1.89273,6.69651,3.23529
325,0,1,0,1.71228,4.67334,4.09346,5.53793,1.52467
326,0,1,0,0.7602,3.67481,3.67095,5.13636,1.70178
327,0,0,0,0.18679,3.57482,3.06214,5.15723,1.91067
328,1,1,1,-1.41428,2.89496,1.65966,4.15897,2.65195
329,0,0,1,-2.76515,2.63459,0.96667,3.75133,2.36178
330,1,0,1,-0.35662,4.11956,3.5735,5.73193,3.30255
331,0,1,0,-0.84287,3.20577,3.77642,5.6172,4.97351
332,1,0,1,-0.10621,5.04018,3.27118,6.7973,2.55622
333,1,1,0,-5.96604,3.0695,0.60985,4.3984,2.46294
334,0,1,1,-0.10342,5.63314,3.37535,5.60556,3.61721
335,0,1,1,3.80409,4.00617,2.34254,4.19347,0.71613
336,1,0,1,-1.11667,4.31124,2.43446,5.35172,3.98582
337,0,1,0,-3.60161,2.97956,0.89868,4.10866,3.07082
338,0,0,0,-1.50478,3.09151,1.97876,5.45139,2.47288
339,0,0,0,-1.28655,3.07125,2.01917,5.35588,2.24841
340,0,1,2,-1.25497,4.20113,1.66777,4.33264,3.12842
341,0,0,2,-2.23994,3.15797,1.98999,5.77581,4.76675
342,1,1,2,-1.55031,4.02081,2.28712,5.57067,4.54144
343,1,1,2,-0.33448,3.24638,2.92039,4.84606,2.45028
344,0,0,2,-0.66659,3.71021,2.29542,4.32508,3.04706
345,1,0,2,-0.07217,3.95646,2.1083,4.07678,2.1254
346,0,0,2,-1.95781,4.39026,2.01871,5.73448,4.97281
347,0,1,0,-0.50982,2.46639,3.64261,5.21441,2.67597
348,1,0,2,-3.85591,2.95934,1.123,5.30684,3.40272
349,1,1,2,-0.48736,3.58531,2.18995,4.39573,2.35897
350,0,0,2,-0.3865,2.56022,2.86962,3.87299,2.65816
351,1,0,2,-1.70609,3.65304,1.56979,5.91014,1.77433
352,0,0,1,-1.52087,4.03615,1.73479,4.4399,3.88668
353,1,1,1,-1.17089,4.30676,1.94946,4.80105,3.33376
354,0,1,0,-0.26002,3.04592,2.65641,5.37895,1.72586
355,0,1,2,-1.74042,2.48584,2.38594,5.65537,3.94663
356,0,1,1,-1.56153,5.10444,1.87801,5.36862,3.93513
357,1,1,1,0.88456,5.00683,3.4405,4.99267,2.1436
358,0,1,1,-2.05916,3.56295,1.48812,4.56242,3.53912
359,0,1,0,-1.22572,2.55416,2.07237,4.98873,2.16173
360,0,1,1,-7.76683,3.98238,0.49237,4.35664,3.6823
361,0,0,2,-2.67124,4.86655,1.20051,5.86238,2.20006
362,1,0,2,-3.29854,4.45399,1.04047,5.16215,2.67856
363,0,0,0,-8.4408,5.39117,0.57923,5.74821,3.63507
364,1,0,1,1.94842,3.50129,2.86297,5.09027,0.93959
365,1,1,2,0.15969,5.33121,2.55436,5.25426,2.40506
366,1,1,2,-0.75179,4.49343,1.80817,4.77359,2.37972
367,0,1,0,-1.46936,3.36248,2.04767,5.28714,3.02202
368,1,1,0,0.09981,5.25136,2.74448,4.94154,2.76338
369,0,1,0,-0.58105,2.77375,3.22218,5.40072,2.53297
370,1,0,1,-0.96792,3.28911,3.25847,5.34089,4.90066
371,0,0,2,0.36783,3.73919,3.56999,4.57253,2.26803
372,1,1,1,3.42893,5.35271,2.52826,5.97966,0.92383
373,0,0,2,-1.4815,2.90059,1.90536,4.17324,4.09248
374,1,0,2,-0.44244,2.56249,3.60813,3.98992,3.86282
375,0,0,0,-0.25444,3.75746,3.70398,4.6495,3.75435
376,1,1,0,-0.09328,3.59758,2.43544,4.27764,2.16313
377,1,1,1,-1.05853,3.0608,2.83308,5.51028,3.45288
378,1,0,2,-5.11187,4.05951,0.64033,4.32426,2.47342
379,1,0,2,2.13304,3.14089,2.20272,5.06526,0.70859
380,1,1,1,-0.53541,3.80572,2.83169,5.31416,2.8374
381,1,0,1,0.2014,4.00736,3.53924,5.52077,2.27525
382,1,1,1,0.15226,4.36953,3.40346,5.34869,2.53482
383,1,1,1,-1.82065,3.15872,2.32198,6.74476,2.9137
384,1,0,1,-0.74958,4.66653,2.07145,5.40918,2.50657
385,0,1,0,-1.5618,3.04028,2.64555,6.24955,3.79803
386,1,1,1,-1.39357,3.05224,2.23962,5.06404,3.51824
387,0,1,1,-0.50075,3.47062,3.28757,5.15457,3.25225
388,0,0,0,-0.44038,3.80059,2.58257,3.71296,3.8108
389,0,0,0,-0.77342,3.37523,3.15615,5.35222,3.65924
390,1,0,1,1.68456,4.2565,3.62265,5.51161,1.32767
391,1,1,1,-0.57797,3.7597,3.3125,5.7858,3.21702
392,1,0,0,-1.14609,3.04452,2.15737,4.69344,2.95742
393,1,1,1,-0.36016,5.0171,3.79455,6.28619,3.8698
394,0,0,0,-3.14204,2.18033,1.23317,4.94399,2.51446
395,1,0,1,-2.43422,4.32594,1.49694,5.06031,4.57184
396,1,0,1,1.54719,4.56922,2.01865,4.36497,1.23176
397,0,0,0,-11.05482,2.47596,0.38812,4.8149,1.83282
398,1,1,1,-2.317,3.81255,1.55943,4.85903,4.77231
399,1,1,1,2.50754,3.63598,2.84949,4.60331,0.88187
400,1,0,1,7.59261,3.69637,2.78601,4.81382,0.39659
401,0,0,1,-0.75861,2.68078,2.12479,4.4161,2.03126
402,1,0,1,-0.30339,3.01326,2.54057,4.69851,1.94907
403,1,1,0,0.13481,4.74935,2.80444,4.7322,2.60637
